X,Vertical_Gravity
-100,0.051198589
-99,0.052446002
-98,0.053731584
-97,0.055056687
-96,0.056422714
-95,0.057831121
-94,0.059283421
-93,0.060781182
-92,0.062326031
-91,0.063919658
-90,0.065563815
-89,0.067260319
-88,0.069011054
-87,0.070817975
-86,0.072683107
-85,0.07460855
-84,0.076596478
-83,0.078649145
-82,0.080768882
-81,0.082958104
-80,0.085219308
-79,0.087555077
-78,0.08996808
-77,0.092461074
-76,0.095036907
-75,0.097698515
-74,0.100448926
-73,0.10329126
-72,0.106228728
-71,0.109264631
-70,0.112402361
-69,0.115645399
-68,0.118997311
-67,0.122461748
-66,0.12604244
-65,0.129743193
-64,0.133567884
-63,0.137520451
-62,0.141604891
-61,0.145825244
-60,0.150185589
-59,0.154690026
-58,0.159342664
-57,0.164147606
-56,0.169108929
-55,0.174230664
-54,0.179516772
-53,0.18497112
-52,0.190597449
-51,0.196399343
-50,0.202380194
-49,0.208543165
-48,0.214891143
-47,0.221426696
-46,0.228152018
-45,0.235068881
-44,0.242178569
-43,0.24948182
-42,0.256978755
-41,0.264668809
-40,0.272550655
-39,0.280622123
-38,0.28888012
-37,0.297320545
-36,0.305938201
-35,0.314726708
-34,0.323678412
-33,0.332784299
-32,0.34203391
-31,0.35141526
-30,0.360914757
-29,0.370517139
-28,0.38020541
-27,0.389960795
-26,0.399762704
-25,0.409588715
-24,0.419414575
-23,0.429214223
-22,0.438959838
-21,0.448621908
-20,0.458169334
-19,0.467569558
-18,0.476788725
-17,0.485791871
-16,0.494543155
-15,0.503006104
-14,0.511143901
-13,0.518919695
-12,0.526296932
-11,0.53323971
-10,0.539713142
-9,0.545683734
-8,0.551119761
-7,0.55599164
-6,0.560272287
-5,0.563937456
-4,0.566966057
-3,0.569340427
-2,0.571046571
-1,0.572074352
0,0.572417631
1,0.572074352
2,0.571046571
3,0.569340427
4,0.566966057
5,0.563937456
6,0.560272287
7,0.55599164
8,0.551119761
9,0.545683734
10,0.539713142
11,0.53323971
12,0.526296932
13,0.518919695
14,0.511143901
15,0.503006104
16,0.494543155
17,0.485791871
18,0.476788725
19,0.467569558
20,0.458169334
21,0.448621908
22,0.438959838
23,0.429214223
24,0.419414575
25,0.409588715
26,0.399762704
27,0.389960795
28,0.38020541
29,0.370517139
30,0.360914757
31,0.35141526
32,0.34203391
33,0.332784299
34,0.323678412
35,0.314726708
36,0.305938201
37,0.297320545
38,0.28888012
39,0.280622123
40,0.272550655
41,0.264668809
42,0.256978755
43,0.24948182
44,0.242178569
45,0.235068881
46,0.228152018
47,0.221426696
48,0.214891143
49,0.208543165
50,0.202380194
51,0.196399343
52,0.190597449
53,0.18497112
54,0.179516772
55,0.174230664
56,0.169108929
57,0.164147606
58,0.159342664
59,0.154690026
60,0.150185589
61,0.145825244
62,0.141604891
63,0.137520451
64,0.133567884
65,0.129743193
66,0.12604244
67,0.122461748
68,0.118997311
69,0.115645399
70,0.112402361
71,0.109264631
72,0.106228728
73,0.10329126
74,0.100448926
75,0.097698515
76,0.095036907
77,0.092461074
78,0.08996808
79,0.087555077
80,0.085219308
81,0.082958104
82,0.080768882
83,0.078649145
84,0.076596478
85,0.07460855
86,0.072683107
87,0.070817975
88,0.069011054
89,0.067260319
90,0.065563815
91,0.063919658
92,0.062326031
93,0.060781182
94,0.059283421
95,0.057831121
96,0.056422714
97,0.055056687
98,0.053731584
99,0.052446002
