X(easting),Y(northing),elevation,"Total magnetic
 intensity(nT)",,
406819.8,2196876.79,9,44825.49,,
407003.68,2196986.49,7,44677.68,,
407138.26,2197004.6,7,44709.26,,
407314.71,2197009.05,5,44669.7,,
407435.86,2196966.63,7,44656.83,,
406479.85,2197581.93,10,44736.03,,
405934.65,2198436.32,10,44643.52,,
405698.74,2199132.06,9,43260.53,,
406272,2199925.97,9,55484.13,,
406288.81,2199965.07,9,44609.7,,
407192.54,2200387.16,9,44599.88,,45 N WGS84
407270.81,2200386.94,10,44654.23,,
407406.69,2200561.26,12,44583.82,,
407400.51,2200519.23,12,44634.56,,
408234.88,2200173.11,8,44643.53,,
408291.57,2200288.64,9,44633.77,,
409137.29,2200272.88,10,44665.56,,
409137.29,2200272.88,10,44617.5,,
409965.75,2200822.2,9,44612.95,,
410002.34,2200783.66,9,44644.8,,
410822.98,2201283.17,9,44698.53,,
410884.74,2201285.14,9,44657.4,,
410784.07,2201196.61,9,44665.71,,
411479.44,2202294.74,7,44618.89,,
411859.16,2202881.96,5,44811.42,,
411901.3,2203008.73,8,44639.25,,
412773.72,2204042.62,5,44636,,
413362.03,2204776.76,5,44895.69,,
413378.17,2204762.6,5,44664.27,,
414058.11,2205132.95,7,44900.79,,
414082.49,2205115.01,7,44548.31,,
414595.55,2205769.22,5,44610.98,,
414734.07,2206206.1,5,44649.3,,
414756.83,2206196.15,5,44550.77,,
415243.49,2207029.85,9,44652.8,,
415251.83,2207019.36,8,45096.95,,
415468.56,2207406.47,7,45073.93,,
415652.93,2208348.87,8,44469.39,,
416230.53,2209492.66,10,43920.2,,
416401.35,2210243.25,7,44610.65,,
416412.12,2210268.51,7,44575.88,,
416527.18,2211126.51,9,44612.41,,
416564.09,2211125.37,9,44614.09,,
