X,Vertical_Mag_Field
-100,-0.0058745653122987225
-99,-0.006018837737753767
-98,-0.006167392023562434
-97,-0.006320358630272524
-96,-0.006477870368560652
-95,-0.006640062155692872
-94,-0.00680707071862194
-93,-0.006979034235839362
-92,-0.007156091909011687
-91,-0.0073383834541907505
-90,-0.0075260485009759695
-89,-0.00771922588639872
-88,-0.0079180528284662
-87,-0.008122663962213164
-86,-0.008333190218727434
-85,-0.008549757524897115
-84,-0.008772485298525479
-83,-0.009001484709917915
-82,-0.00923685667700049
-81,-0.009478689556408012
-80,-0.009727056487697255
-79,-0.009982012341801265
-78,-0.01024359021793269
-77,-0.010511797425240447
-76,-0.010786610876478375
-75,-0.011067971810589326
-74,-0.011355779749250393
-73,-0.011649885578844294
-72,-0.011950083633765183
-71,-0.012256102639144239
-70,-0.012567595350661025
-69,-0.012884126705710906
-68,-0.013205160273396693
-67,-0.01353004276011175
-66,-0.013857986292324898
-65,-0.014188048157932372
-64,-0.014519107641496594
-63,-0.014849839536042981
-62,-0.015178683853939397
-61,-0.015503811190740855
-60,-0.015823083117645634
-59,-0.016134006889176662
-58,-0.01643368365157632
-57,-0.016718749222804866
-56,-0.01698530638552762
-55,-0.017228847488614224
-54,-0.0174441659890549
-53,-0.01762525538356506
-52,-0.017765193776519753
-51,-0.017856012107715
-50,-0.01788854381999832
-49,-0.017852253484327413
-48,-0.017735041621135334
-47,-0.017523022667020736
-46,-0.017200272742783584
-45,-0.016748543594848696
-44,-0.016146938824855094
-43,-0.01537154831668838
-42,-0.014395036651203605
-41,-0.013186181313584807
-40,-0.011709356710081619
-39,-0.009923960503554282
-38,-0.0077837796602051035
-37,-0.005236295013903325
-36,-0.002221925278456221
-35,0.0013267855042893922
-34,0.005486028826576716
-33,0.010341626827482816
-32,0.01598993986259006
-31,0.02253875463270083
-30,0.030108108019694706
-29,0.03883098548721135
-28,0.04885381283838491
-27,0.06033663598000439
-26,0.07345285508968971
-25,0.08838834764831843
-24,0.10533978033303096
-23,0.12451187497002908
-22,0.14611336227926489
-21,0.17035133455503693
-20,0.19742370256590588
-19,0.22750948322645279
-18,0.26075670586366906
-17,0.29726784082369945
-16,0.3370828395532396
-15,0.38016014223847666
-14,0.4263563626002557
-13,0.47540579165381047
-12,0.5269013457726703
-11,0.5802790663281145
-10,0.6348086768835008
-9,0.6895929119250903
-8,0.7435782271181377
-7,0.7955789732430918
-6,0.8443160953327002
-5,0.8884699169536812
-4,0.9267447112007599
-3,0.9579407918421655
-2,0.9810281267108407
-1,0.9952143642404699
0,1.0
1,0.9952143642404699
2,0.9810281267108407
3,0.9579407918421655
4,0.9267447112007599
5,0.8884699169536812
6,0.8443160953327002
7,0.7955789732430918
8,0.7435782271181377
9,0.6895929119250903
10,0.6348086768835008
11,0.5802790663281145
12,0.5269013457726703
13,0.47540579165381047
14,0.4263563626002557
15,0.38016014223847666
16,0.3370828395532396
17,0.29726784082369945
18,0.26075670586366906
19,0.22750948322645279
20,0.19742370256590588
21,0.17035133455503693
22,0.14611336227926489
23,0.12451187497002908
24,0.10533978033303096
25,0.08838834764831843
26,0.07345285508968971
27,0.06033663598000439
28,0.04885381283838491
29,0.03883098548721135
30,0.030108108019694706
31,0.02253875463270083
32,0.01598993986259006
33,0.010341626827482816
34,0.005486028826576716
35,0.0013267855042893922
36,-0.002221925278456221
37,-0.005236295013903325
38,-0.0077837796602051035
39,-0.009923960503554282
40,-0.011709356710081619
41,-0.013186181313584807
42,-0.014395036651203605
43,-0.01537154831668838
44,-0.016146938824855094
45,-0.016748543594848696
46,-0.017200272742783584
47,-0.017523022667020736
48,-0.017735041621135334
49,-0.017852253484327413
50,-0.01788854381999832
51,-0.017856012107715
52,-0.017765193776519753
53,-0.01762525538356506
54,-0.0174441659890549
55,-0.017228847488614224
56,-0.01698530638552762
57,-0.016718749222804866
58,-0.01643368365157632
59,-0.016134006889176662
60,-0.015823083117645634
61,-0.015503811190740855
62,-0.015178683853939397
63,-0.014849839536042981
64,-0.014519107641496594
65,-0.014188048157932372
66,-0.013857986292324898
67,-0.01353004276011175
68,-0.013205160273396693
69,-0.012884126705710906
70,-0.012567595350661025
71,-0.012256102639144239
72,-0.011950083633765183
73,-0.011649885578844294
74,-0.011355779749250393
75,-0.011067971810589326
76,-0.010786610876478375
77,-0.010511797425240447
78,-0.01024359021793269
79,-0.009982012341801265
80,-0.009727056487697255
81,-0.009478689556408012
82,-0.00923685667700049
83,-0.009001484709917915
84,-0.008772485298525479
85,-0.008549757524897115
86,-0.008333190218727434
87,-0.008122663962213164
88,-0.0079180528284662
89,-0.00771922588639872
90,-0.0075260485009759695
91,-0.0073383834541907505
92,-0.007156091909011687
93,-0.006979034235839362
94,-0.00680707071862194
95,-0.006640062155692872
96,-0.006477870368560652
97,-0.006320358630272524
98,-0.006167392023562434
99,-0.006018837737753767
